1 	 2.2987298051865621e-01 	 1.7547081504666026e-01 	 5.7391431494020533e-02 
2 	 9.2448154698665741e-01 	 3.5522338880207205e-01 	 5.1837552227723793e-01 
3 	 2.0994104627087982e+00 	 2.5268355967567796e-01 	 1.4504741047416962e+00 
4 	 3.7828808737072901e+00 	 8.6356102695332629e-02 	 2.8752264781900334e+00 
5 	 6.0199180277014612e+00 	 1.5109778034860811e-02 	 4.8285533636786759e+00 
6 	 8.8803475979967086e+00 	 1.3282156283635641e-03 	 7.3665254394510198e+00 
7 	 1.2474832404836205e+01 	 5.4187800211703440e-05 	 1.0576576140709943e+01 
8 	 1.6990847293542554e+01 	 8.7374758691871452e-07 	 1.4601083292316480e+01 
9 	 2.2791002894948946e+01 	 4.0196998869397951e-09 	 1.9694960301466008e+01 
10 	 3.0806405917052722e+01 	 2.2922215302047090e-12 	 2.6409308817627146e+01 
11 	              NaN 		              NaN 		 3.6674904936337754e+01 
